Epoch: 427/500, Duration: 1.232s, ACC: 0.8146, Train Loss: 0.7357, Test Loss:0.7351
Epoch: 428/500, Duration: 1.234s, ACC: 0.8137, Train Loss: 0.7346, Test Loss:0.7386
Epoch: 429/500, Duration: 1.254s, ACC: 0.8148, Train Loss: 0.7347, Test Loss:0.7326
Epoch: 430/500, Duration: 1.261s, ACC: 0.8149, Train Loss: 0.7348, Test Loss:0.7338
Epoch: 431/500, Duration: 1.259s, ACC: 0.8141, Train Loss: 0.7351, Test Loss:0.7359
Epoch: 432/500, Duration: 1.260s, ACC: 0.8141, Train Loss: 0.7331, Test Loss:0.7348
Epoch: 433/500, Duration: 1.231s, ACC: 0.8149, Train Loss: 0.7313, Test Loss:0.7307
Epoch: 434/500, Duration: 1.230s, ACC: 0.8146, Train Loss: 0.7333, Test Loss:0.7321
Epoch: 435/500, Duration: 1.235s, ACC: 0.8146, Train Loss: 0.7320, Test Loss:0.7326
Epoch: 436/500, Duration: 1.245s, ACC: 0.8142, Train Loss: 0.7327, Test Loss:0.7377
Epoch: 437/500, Duration: 1.260s, ACC: 0.8148, Train Loss: 0.7315, Test Loss:0.7357
Epoch: 438/500, Duration: 1.263s, ACC: 0.8142, Train Loss: 0.7337, Test Loss:0.7358
Epoch: 439/500, Duration: 1.264s, ACC: 0.8147, Train Loss: 0.7325, Test Loss:0.7340
Epoch: 440/500, Duration: 1.236s, ACC: 0.8149, Train Loss: 0.7298, Test Loss:0.7337
Epoch: 441/500, Duration: 1.231s, ACC: 0.8147, Train Loss: 0.7311, Test Loss:0.7339
Epoch: 442/500, Duration: 1.232s, ACC: 0.8148, Train Loss: 0.7308, Test Loss:0.7322
Epoch: 443/500, Duration: 1.231s, ACC: 0.8149, Train Loss: 0.7291, Test Loss:0.7334
Epoch: 444/500, Duration: 1.267s, ACC: 0.8147, Train Loss: 0.7284, Test Loss:0.7336
Epoch: 445/500, Duration: 1.261s, ACC: 0.8155, Train Loss: 0.7303, Test Loss:0.7309
Epoch: 446/500, Duration: 1.261s, ACC: 0.8153, Train Loss: 0.7298, Test Loss:0.7326
Epoch: 447/500, Duration: 1.245s, ACC: 0.8154, Train Loss: 0.7281, Test Loss:0.7319
Epoch: 448/500, Duration: 1.232s, ACC: 0.8161, Train Loss: 0.7283, Test Loss:0.7280
Epoch: 449/500, Duration: 1.230s, ACC: 0.8156, Train Loss: 0.7306, Test Loss:0.7300
Epoch: 450/500, Duration: 1.230s, ACC: 0.8152, Train Loss: 0.7284, Test Loss:0.7330
Epoch: 451/500, Duration: 1.252s, ACC: 0.8152, Train Loss: 0.7290, Test Loss:0.7312
Epoch: 452/500, Duration: 1.258s, ACC: 0.8150, Train Loss: 0.7272, Test Loss:0.7322
Epoch: 453/500, Duration: 1.258s, ACC: 0.8159, Train Loss: 0.7311, Test Loss:0.7297
Epoch: 454/500, Duration: 1.261s, ACC: 0.8151, Train Loss: 0.7277, Test Loss:0.7332
Epoch: 455/500, Duration: 1.227s, ACC: 0.8156, Train Loss: 0.7256, Test Loss:0.7304
Epoch: 456/500, Duration: 1.228s, ACC: 0.8157, Train Loss: 0.7266, Test Loss:0.7291
Epoch: 457/500, Duration: 1.227s, ACC: 0.8153, Train Loss: 0.7267, Test Loss:0.7321
Epoch: 458/500, Duration: 1.242s, ACC: 0.8149, Train Loss: 0.7256, Test Loss:0.7351
Epoch: 459/500, Duration: 1.262s, ACC: 0.8159, Train Loss: 0.7262, Test Loss:0.7295
Epoch: 460/500, Duration: 1.262s, ACC: 0.8153, Train Loss: 0.7251, Test Loss:0.7326
Epoch: 461/500, Duration: 1.263s, ACC: 0.8153, Train Loss: 0.7272, Test Loss:0.7321
Epoch: 462/500, Duration: 1.238s, ACC: 0.8158, Train Loss: 0.7261, Test Loss:0.7296
Epoch: 463/500, Duration: 1.232s, ACC: 0.8159, Train Loss: 0.7243, Test Loss:0.7295
Epoch: 464/500, Duration: 1.230s, ACC: 0.8151, Train Loss: 0.7248, Test Loss:0.7322
Epoch: 465/500, Duration: 1.230s, ACC: 0.8163, Train Loss: 0.7246, Test Loss:0.7280
Epoch: 466/500, Duration: 1.264s, ACC: 0.8157, Train Loss: 0.7234, Test Loss:0.7291
Epoch: 467/500, Duration: 1.260s, ACC: 0.8161, Train Loss: 0.7235, Test Loss:0.7292
Epoch: 468/500, Duration: 1.262s, ACC: 0.8162, Train Loss: 0.7244, Test Loss:0.7278
Epoch: 469/500, Duration: 1.246s, ACC: 0.8157, Train Loss: 0.7221, Test Loss:0.7307
Epoch: 470/500, Duration: 1.232s, ACC: 0.8156, Train Loss: 0.7268, Test Loss:0.7301
Epoch: 471/500, Duration: 1.231s, ACC: 0.8162, Train Loss: 0.7239, Test Loss:0.7283
Epoch: 472/500, Duration: 1.232s, ACC: 0.8160, Train Loss: 0.7220, Test Loss:0.7294
Epoch: 473/500, Duration: 1.253s, ACC: 0.8162, Train Loss: 0.7239, Test Loss:0.7286
Epoch: 474/500, Duration: 1.260s, ACC: 0.8159, Train Loss: 0.7224, Test Loss:0.7305
Epoch: 475/500, Duration: 1.263s, ACC: 0.8162, Train Loss: 0.7219, Test Loss:0.7278
Epoch: 476/500, Duration: 1.260s, ACC: 0.8155, Train Loss: 0.7203, Test Loss:0.7323
Epoch: 477/500, Duration: 1.230s, ACC: 0.8158, Train Loss: 0.7236, Test Loss:0.7306
Epoch: 478/500, Duration: 1.231s, ACC: 0.8162, Train Loss: 0.7229, Test Loss:0.7298
Epoch: 479/500, Duration: 1.231s, ACC: 0.8162, Train Loss: 0.7221, Test Loss:0.7290
Epoch: 480/500, Duration: 1.241s, ACC: 0.8165, Train Loss: 0.7201, Test Loss:0.7275
